hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
75,104.21153846153845,24490.4365079365,4926.11413043478,7.2562500000000005,1641.925,8000.0,-0.0,-0.0,10000.0,15621.454718776171,-0.0,-0.0,-0.0,-0.0,106400.0
76,115.3906976744186,20000.46230158729,3806.0869565217386,13.115,1638.8500000000001,8000.0,-0.0,828.8321149790536,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,106400.0
77,115.3906976744186,17730.398809523802,4042.5000000000005,17.200000000000003,1659.7500000000002,8000.0,-0.0,4364.999662556176,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,106400.0
78,117.87894736842105,16316.811507936502,3598.3695652173897,16.985000000000003,1694.3,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,105040.2445761755
79,117.87894736842105,14988.424603174595,5312.11956521739,603.34375,1768.95,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,99229.20270968747
80,117.87894736842105,13445.736111111106,8337.228260869566,3995.82875,1762.9,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,93823.97916022013
81,117.87894736842105,13041.182539682539,7930.516304347824,8322.811249999979,1773.45,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,89623.50369176413
82,117.87894736842105,13162.845238095237,10247.038043478258,11120.7675,1752.675,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,87300.73074655724
83,117.87894736842105,12804.109126984118,7962.228260869563,11956.848749999977,1802.775,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,82352.26380106373
84,117.87894736842105,13037.851190476185,9173.885869565218,10463.619999999979,1724.4499999999998,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,78908.7059390842
