hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
7802,117.87894736842105,19339.62301587301,14028.097826086956,-0.0,1373.8249999999998,8000.0,862.4826674151045,8000.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
7803,115.3906976744186,19144.853174603173,15793.532608695652,8.33125,1384.2250000000001,8000.0,-0.0,7481.035513468574,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
7804,115.3906976744186,19354.271825396816,16830.652173913044,16.77,1366.5749999999998,8000.0,-0.0,6771.792536763798,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
7805,115.3906976744186,19628.674603174604,17916.684782608696,19.833750000000002,1439.075,8000.0,-0.0,7834.977338624249,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
7806,117.87894736842105,20432.716269841265,18573.749999999996,152.59625,1434.3249999999998,8000.0,1966.277175150004,8000.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
7807,115.3906976744186,21355.5,19012.907608695652,5779.092499999979,1428.225,8000.0,-0.0,7575.168210392556,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
7808,104.21153846153845,20165.11309523809,19661.08695652174,20767.33375,1443.75,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,3445.951974057241
7809,104.21153846153845,18727.79563492063,20506.71195652174,37153.77375,1433.75,8000.0,-0.0,-0.0,0.0,3400.1125853174344,-0.0,-0.0,-0.0,-0.0,3445.951974057241
7810,104.21153846153845,17002.61309523809,20872.826086956524,47405.08125,1424.85,8000.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9489.314525724007
7811,104.21153846153845,16437.835317460318,21289.23913043478,48974.204999999994,1433.475,8000.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17681.197662915587
7812,104.21153846153845,16513.132936507936,21513.913043478264,41678.55625,1387.8,8000.0,-0.0,-0.0,0.0,19230.528947748906,-0.0,-0.0,-0.0,-0.0,39753.149686477846
7813,104.21153846153845,16935.89484126983,20804.51086956522,26854.521249999998,1350.75,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,50000.0
7814,115.3906976744186,19350.438492063488,19449.04891304348,9350.61875,1347.5,8000.0,-0.0,1163.204085704634,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,44368.483456417984
7815,115.3906976744186,25796.05158730158,17661.358695652172,591.84125,1434.175,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,29584.104035972166
7816,115.3906976744186,30643.11904761904,17336.08695652174,106.855,1472.0249999999999,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,14779.633967899108
